=== Run information ===

Evaluator:    weka.attributeSelection.InfoGainAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     train_clean
Instances:    200
Attributes:   1025
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 1025 class):
	Information Gain Ranking Filter

Ranked attributes:
 0.767     838 pixel_838
 0.753     201 pixel_201
 0.709     869 pixel_869
 0.701     233 pixel_233
 0.664     898 pixel_898
 0.663     809 pixel_809
 0.589     230 pixel_230
 0.57      965 pixel_965
 0.557     870 pixel_870
 0.551     773 pixel_773
 0.548     990 pixel_990
 0.537    1020 pixel_1020
 0.533     834 pixel_834
 0.517    1023 pixel_1023
 0.505     772 pixel_772
 0.487     200 pixel_200
 0.485     196 pixel_196
 0.484     933 pixel_933
 0.481     961 pixel_961
 0.479     806 pixel_806
 0.477    1022 pixel_1022
 0.461     198 pixel_198
 0.458     996 pixel_996
 0.457    1021 pixel_1021
 0.453     993 pixel_993
 0.453     997 pixel_997
 0.445     290 pixel_290
 0.437     994 pixel_994
 0.437     989 pixel_989
 0.437     802 pixel_802
 0.434     162 pixel_162
 0.433     804 pixel_804
 0.426     678 pixel_678
 0.419     771 pixel_771
 0.418     229 pixel_229
 0.413     836 pixel_836
 0.406     166 pixel_166
 0.402     100 pixel_100
 0.394     998 pixel_998
 0.39      197 pixel_197
 0.388     199 pixel_199
 0.385     708 pixel_708
 0.379     228 pixel_228
 0.377     962 pixel_962
 0.375     840 pixel_840
 0.372      98 pixel_98
 0.371     935 pixel_935
 0.366     294 pixel_294
 0.366     991 pixel_991
 0.363     897 pixel_897
 0.361     770 pixel_770
 0.36      262 pixel_262
 0.36      779 pixel_779
 0.357     931 pixel_931
 0.357     293 pixel_293
 0.348     896 pixel_896
 0.345     235 pixel_235
 0.345     626 pixel_626
 0.343     165 pixel_165
 0.342       2 pixel_2
 0.341     408 pixel_408
 0.34      900 pixel_900
 0.34       97 pixel_97
 0.333     252 pixel_252
 0.332     929 pixel_929
 0.332    1000 pixel_1000
 0.33      227 pixel_227
 0.327     259 pixel_259
 0.327     932 pixel_932
 0.322     963 pixel_963
 0.322     837 pixel_837
 0.32      895 pixel_895
 0.32      967 pixel_967
 0.319     995 pixel_995
 0.319     868 pixel_868
 0.318     930 pixel_930
 0.318     129 pixel_129
 0.316     642 pixel_642
 0.309      31 pixel_31
 0.308     761 pixel_761
 0.305     865 pixel_865
 0.299     133 pixel_133
 0.297     901 pixel_901
 0.295     362 pixel_362
 0.293     130 pixel_130
 0.292     226 pixel_226
 0.291     805 pixel_805
