@relation 'train_best-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute '0.08 pixel_778+0.08 pixel_576+0.079pixel_746+0.079pixel_517+0.078pixel_747...' numeric
@attribute -0.092pixel_15-0.087pixel_22-0.086pixel_11-0.085pixel_65-0.085pixel_184... numeric
@attribute -0.137pixel_802-0.136pixel_834-0.134pixel_770-0.133pixel_866-0.126pixel_898... numeric
@attribute 0.139pixel_63+0.139pixel_31+0.138pixel_30+0.136pixel_29+0.135pixel_32... numeric
@attribute -0.17pixel_740-0.166pixel_324-0.164pixel_708-0.162pixel_292-0.16pixel_227... numeric
@attribute '-0.191pixel_402-0.188pixel_626-0.18pixel_594+0.166pixel_932+0.16 pixel_997...' numeric
@attribute -0.163pixel_776-0.16pixel_808-0.149pixel_69-0.147pixel_840-0.142pixel_809... numeric
@attribute -0.152pixel_263+0.137pixel_1023+0.128pixel_990+0.127pixel_1022-0.116pixel_66... numeric
@attribute -0.138pixel_314-0.132pixel_200+0.132pixel_678+0.122pixel_773+0.122pixel_805... numeric
@attribute -0.176pixel_166-0.173pixel_198-0.156pixel_230-0.148pixel_995-0.145pixel_134... numeric
@attribute -0.145pixel_434+0.143pixel_730-0.135pixel_998-0.124pixel_323-0.123pixel_290... numeric
@attribute -0.142pixel_132-0.135pixel_100+0.134pixel_998+0.133pixel_965+0.129pixel_997... numeric
@attribute -0.144pixel_593-0.142pixel_233-0.142pixel_809-0.138pixel_433+0.135pixel_996... numeric
@attribute 0.166pixel_69-0.164pixel_625+0.142pixel_5-0.138pixel_658-0.135pixel_904... numeric
@attribute '0.23 pixel_807+0.183pixel_744-0.183pixel_574-0.176pixel_510-0.173pixel_606...' numeric
@attribute -0.234pixel_625+0.218pixel_232+0.187pixel_264+0.186pixel_200-0.185pixel_937... numeric
@attribute '-0.195pixel_391-0.168pixel_105+0.161pixel_76+0.16 pixel_43+0.154pixel_793...' numeric
@attribute 0.164pixel_233-0.159pixel_968+0.156pixel_825-0.142pixel_370+0.138pixel_791... numeric
@attribute '-0.19pixel_594+0.18 pixel_199-0.17pixel_408+0.167pixel_103+0.159pixel_538...' numeric
@attribute 0.194pixel_296+0.189pixel_434+0.163pixel_744+0.148pixel_168+0.147pixel_595... numeric
@attribute -0.249pixel_433-0.157pixel_277+0.152pixel_199+0.149pixel_171-0.148pixel_1024... numeric
@attribute 0.298pixel_807+0.203pixel_433+0.171pixel_264+0.159pixel_329+0.156pixel_265... numeric
@attribute 0.195pixel_625-0.191pixel_433+0.166pixel_402-0.165pixel_807+0.148pixel_403... numeric
@attribute -0.237pixel_1024+0.202pixel_625-0.196pixel_434+0.181pixel_403+0.163pixel_264... numeric
@attribute 0.212pixel_433-0.17pixel_905-0.165pixel_676+0.141pixel_99-0.137pixel_3... numeric
@attribute 0.209pixel_403+0.208pixel_105+0.182pixel_314+0.181pixel_6-0.168pixel_807... numeric
@attribute 0.262pixel_403+0.201pixel_744+0.172pixel_296-0.166pixel_402+0.158pixel_681... numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
{0 8.605366,1 2.979558,2 2.075856,3 2.12397,4 -1.201049,5 0.802054,6 1.130623,7 0.746041,8 0.079809,9 0.399822,10 0.198557,11 0.490957,12 0.054258,13 -0.38678,14 -0.732734,15 0.014804,16 0.122132,17 -0.198284,18 0.408245,19 0.441697,20 0.242703,21 0.763642,22 0.442156,23 0.243121,24 0.093481,25 -0.3576,26 -0.079055,27 2}
{0 1.901951,1 -3.492436,2 -0.467508,3 2.311452,4 -0.200505,5 -0.111217,6 1.268161,7 -0.596298,8 -0.186667,9 -0.195161,10 -0.322104,11 0.092933,12 0.082175,13 -0.107742,14 -0.243535,15 -0.500556,16 -0.111356,17 -0.113067,18 -0.703893,19 0.241064,20 -0.495983,21 0.096674,22 0.312438,23 -0.508111,24 -0.086902,25 -0.452746,26 -0.585334,27 8}
{0 6.752253,1 -0.469793,2 -1.417891,3 1.342108,4 0.237349,5 -1.12053,6 0.606161,7 0.340384,8 0.230163,9 0.061149,10 -0.26866,11 0.506708,12 -0.322954,13 0.247485,14 -0.267562,15 -0.910733,16 0.309104,17 -0.000773,18 -0.231941,19 0.543353,20 -0.170899,21 0.499179,22 -0.042106,23 -0.24303,24 0.058662,25 -0.17679,26 0.639639,27 8}
{0 0.982646,1 -2.586749,2 -0.091887,3 3.044836,4 -1.095088,5 -0.157098,6 1.009291,7 -1.756328,8 1.271363,9 0.123962,10 0.439001,11 -0.45869,12 -0.405559,13 0.373429,14 -0.63964,15 -0.023069,16 0.267069,17 0.097727,18 0.09011,19 0.287121,20 -0.219169,21 0.645754,22 0.258663,23 0.0398,24 -0.458948,25 -0.102192,26 0.263704,27 6}
{0 0.384175,1 -1.49079,2 0.135764,3 1.716777,4 -0.385839,5 -0.397522,6 0.181233,7 -0.439001,8 0.818272,9 0.113082,10 0.235386,11 0.056262,12 -0.014673,13 -0.179252,14 -0.094524,15 -0.393639,16 -0.428549,17 0.305599,18 0.185674,19 0.199516,20 -0.13319,21 0.230578,22 0.025038,23 -0.236511,24 -0.305845,25 -0.327237,26 -0.348904,27 8}
{0 5.202841,1 -0.888068,2 -2.352928,3 0.23268,4 -0.396912,5 -0.58478,6 0.957301,7 0.110747,8 -0.116388,9 -0.575353,10 0.306953,11 0.709444,12 -0.165116,13 -0.280746,14 -0.803826,15 -0.181007,16 -0.22472,17 -0.096188,18 0.25327,19 0.175322,20 -0.002497,21 0.320653,22 -0.206874,23 0.01128,24 -0.505428,25 0.021474,26 0.083657,27 9}
{0 7.767888,1 -3.208409,2 -0.576419,3 1.104385,4 -0.394687,5 0.225684,6 -0.180251,7 -0.125234,8 -0.136672,9 0.109523,10 -0.729748,11 -0.31652,12 -0.296409,13 0.543784,14 -0.776078,15 0.102555,16 -0.488033,17 -0.080021,18 -0.005216,19 0.190741,20 -0.154338,21 0.20825,22 -0.12008,23 -0.086601,24 -0.168796,25 -0.164212,26 0.006599,27 3}
{0 2.922481,1 2.934276,2 0.817242,3 2.317201,4 -0.461734,5 0.86267,6 0.530562,7 -0.526792,8 -0.50497,9 -0.281995,10 -0.777109,11 0.694586,12 0.754834,13 0.570761,14 -0.541763,15 -0.71951,16 0.265362,17 0.065673,18 0.470707,19 0.374955,20 0.274786,21 0.384282,22 -0.05694,23 0.015235,24 -0.036039,25 0.135532,26 -0.276248,27 2}
{0 6.41739,1 -3.275516,2 1.395809,3 1.228646,4 0.777312,5 1.714294,6 0.571719,7 -0.044346,8 0.091316,9 -0.4938,10 0.517763,11 0.159816,12 -0.784923,13 0.835297,14 -0.063158,15 -0.51189,16 0.111539,17 0.275593,18 -0.508135,19 -0.428648,20 -0.473448,21 0.199414,22 -0.141285,23 -0.370788,24 -0.352027,25 -0.377541,26 -0.288054,27 2}
{0 5.181353,1 0.747119,2 -0.240229,3 0.69604,4 -0.428436,5 -1.549133,6 0.58894,7 0.03923,8 -0.092096,9 -0.883101,10 0.157662,11 0.753088,12 -0.644611,13 -0.42923,14 -0.089548,15 0.016789,16 -0.252447,17 0.06522,18 -0.37226,19 0.344278,20 0.534728,21 -0.008559,22 0.367971,23 0.075488,24 -0.420049,25 0.118561,26 -0.251353,27 9}
